Files	source_image	Date	condition	experiment	strain	Position	file_type	annotation_status	annotation_reason	switch
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_acdc_output.csv	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	acdc output	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_align_shift.npy	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	alignment data	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_custom_annot_params.json	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	annotation settings	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_custom_combine_metrics.ini	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	custom metric settings	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_dataPrep_bkgrROIs.json	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	background ROI settings	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_dataPrepROIs_coords.csv	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	ROI coordinates	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	phase contrast image	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3_aligned.npz	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	aligned image data	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3_aligned_bkgrRoiData.npz	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	background ROI data	annotated		
analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_last_tracked_i.txt	analysed_live_cell_microscopy/Ccr4_data_for_Felix/20231212/Position_1/Images/YagyaExpSCD20231212_s01_Dia_Ph3.tif	12122023	SCD	ccr4_deletion	YCY002_1	1	tracking data	annotated		
