Files	Type	qPCR_experiment	qPCR_run	annotation_status	annotation_reason
qpcr/final paper data/csv_forplots_thesis_final_Analysis.csv	qPCR output	final paper data		unresolved	no qPCR run folder
qpcr/final paper data/final_Combined_Turbo_Analysis.xlsx	summary	final paper data		annotated	
qpcr/final paper data/turbo dnase 170921/TurboDNase_analysis.xlsx	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_act1_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_act1_turbo_cDNA_17092021.lc96p	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_rdn18_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_rdn18_turbo_cDNA_17092021.lc96p	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_rdn18_turbo_cDNA_200921 - Abs Quant.txt	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_rdn18_turbo_cDNA_200921.lc96p	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_rdn18_turbo_cDNA_21092021 - Abs Quant.txt	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_rdn18_turbo_cDNA_21092021.lc96p	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_whi5_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_whi5_turbo_cDNA_17092021.lc96p	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_whi7_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	final paper data	turbo dnase 170921	annotated	
qpcr/final paper data/turbo dnase 170921/Yagya_whi7_turbo_cDNA_17092021.lc96p	qPCR output	final paper data	turbo dnase 170921	annotated	
