Files	Date	condition	experiment	strain	file_type	annotation_status	annotation_reason	switch
raw_microscopy_files/SCD2SCGE_20221013.nd2	13102022	SCDtoSCGE	nutrient_switch	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'MMY', 8: 'MMY', 9: 'MMY', 10: 'BCK2DEL', 11: 'BCK2DEL', 12: 'BCK2DEL', 13: 'BCK2DEL', 14: 'BCK2DEL', 15: 'BCK2DEL', 16: 'BCK2DEL', 17: 'BCK2DEL', 18: 'BCK2DEL', 19: 'BCK2DEL', 20: 'BCK2DEL', 21: 'BCK2DEL', 22: 'BCK2DEL', 23: 'WHI5DEL', 24: 'WHI5DEL', 25: 'WHI5DEL', 26: 'WHI5DEL', 29: 'WHI5DEL', 30: 'WHI5_BCK2_DD', 31: 'WHI5_BCK2_DD', 32: 'WHI5_BCK2_DD', 33: 'WHI5_BCK2_DD', 34: 'WHI5_BCK2_DD', 36: 'WHI5_BCK2_DD', 37: 'WHI5_BCK2_DD'}	Raw microscopy file	annotated		50
raw_microscopy_files/SCD2SCGE_rep1_cln3strains_060423.nd2	06042023	SCDtoSCGE	cln3_deletion	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'CLN3DEL', 8: 'CLN3DEL', 9: 'CLN3DEL', 10: 'CLN3DEL', 11: 'CLN3DEL', 12: 'CLN3DEL', 13: 'CLN3_WHI5_DD', 14: 'CLN3_WHI5_DD', 15: 'CLN3_WHI5_DD', 16: 'CLN3_WHI5_DD', 17: 'CLN3_WHI5_DD', 18: 'CLN3_WHI5_DD', 19: 'CLN3_WHI5_BCK2_TD', 20: 'CLN3_WHI5_BCK2_TD', 21: 'CLN3_WHI5_BCK2_TD', 22: 'CLN3_WHI5_BCK2_TD', 23: 'CLN3_WHI5_BCK2_TD', 24: 'CLN3_WHI5_BCK2_TD', 25: 'MK_40', 26: 'MK_40', 27: 'MK_40', 28: 'MK_40', 29: 'MK_40', 30: 'MK_40', 31: 'MK_41', 32: 'MK_41', 33: 'MK_41', 34: 'MK_41', 35: 'MK_41', 36: 'MK_41', 37: 'MK_44', 38: 'MK_44', 39: 'MK_44', 40: 'MK_44', 41: 'MK_44', 42: 'MK_44'}	Raw microscopy file	annotated		53
raw_microscopy_files/SCD2SCGE_rep2_cln3dels_120423.nd2	12042023	SCDtoSCGE	cln3_deletion	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'CLN3DEL', 8: 'CLN3DEL', 9: 'CLN3DEL', 10: 'CLN3DEL', 11: 'CLN3DEL', 12: 'CLN3DEL', 13: 'CLN3_WHI5_DD', 14: 'CLN3_WHI5_DD', 15: 'CLN3_WHI5_DD', 16: 'CLN3_WHI5_DD', 17: 'CLN3_WHI5_DD', 18: 'CLN3_WHI5_DD', 19: 'CLN3_WHI5_BCK2_TD', 20: 'CLN3_WHI5_BCK2_TD', 21: 'CLN3_WHI5_BCK2_TD', 22: 'CLN3_WHI5_BCK2_TD', 23: 'MK_40', 24: 'MK_40', 25: 'MK_40', 26: 'MK_40', 27: 'MK_40', 28: 'MK_40', 29: 'MK_40', 30: 'MK_41', 31: 'MK_41', 32: 'MK_41', 33: 'MK_41', 34: 'MK_41', 35: 'MK_41', 36: 'MK_44', 37: 'MK_44', 38: 'MK_44', 39: 'MK_44', 40: 'MK_44', 41: 'MK_44'}	Raw microscopy file	annotated		50
raw_microscopy_files/SCD2SCGE_rep3_28032023.nd2	28032023	SCDtoSCGE	nutrient_switch	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'MMY', 8: 'MMY', 9: 'MMY', 10: 'MMY', 11: 'BCK2DEL', 12: 'BCK2DEL', 14: 'BCK2DEL', 15: 'BCK2DEL', 16: 'BCK2DEL', 17: 'BCK2DEL', 18: 'BCK2DEL', 20: 'BCK2DEL', 21: 'WHI5DEL', 22: 'WHI5DEL', 23: 'WHI5DEL', 24: 'WHI5DEL', 25: 'WHI5DEL', 26: 'WHI5DEL', 27: 'WHI5DEL', 28: 'WHI5DEL', 29: 'WHI5DEL', 30: 'WHI5DEL', 31: 'WHI5_BCK2_DD', 32: 'WHI5_BCK2_DD', 33: 'WHI5_BCK2_DD', 34: 'WHI5_BCK2_DD', 35: 'WHI5_BCK2_DD', 36: 'WHI5_BCK2_DD', 37: 'WHI5_BCK2_DD', 38: 'WHI5_BCK2_DD', 39: 'WHI5_BCK2_DD', 40: 'WHI5_BCK2_DD'}	Raw microscopy file	annotated		50
raw_microscopy_files/SCDtoSCGE_08092022.nd2	08092022	SCDtoSCGE	nutrient_switch	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'MMY', 8: 'MMY', 9: 'MMY', 10: 'BCK2DEL', 11: 'BCK2DEL', 13: 'BCK2DEL', 14: 'BCK2DEL', 15: 'BCK2DEL', 16: 'BCK2DEL', 17: 'BCK2DEL', 18: 'BCK2DEL', 19: 'BCK2DEL', 20: 'WHI5DEL', 22: 'WHI5DEL', 24: 'WHI5DEL', 25: 'WHI5DEL', 26: 'WHI5DEL', 28: 'WHI5DEL', 29: 'WHI5_BCK2_DD', 30: 'WHI5_BCK2_DD', 31: 'WHI5_BCK2_DD', 32: 'WHI5_BCK2_DD', 33: 'WHI5_BCK2_DD', 34: 'WHI5_BCK2_DD', 35: 'WHI5_BCK2_DD', 36: 'WHI5_BCK2_DD', 37: 'WHI5_BCK2_DD', 38: 'WHI5_BCK2_DD', 39: 'WHI5_BCK2_DD', 40: 'WHI5_BCK2_DD'}	Raw microscopy file	annotated		50
raw_microscopy_files/SCD_20210120_6strains.nd2	20012021	SCD	steady_state	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'BCK2DEL', 8: 'BCK2DEL', 9: 'BCK2DEL', 10: 'BCK2DEL', 11: 'BCK2DEL', 12: 'WHI5DEL', 13: 'WHI5DEL', 14: 'WHI5DEL', 15: 'WHI5DEL', 16: 'WHI5DEL', 17: 'WHI5DEL', 18: 'WHI5DEL', 19: 'WHI5DEL', 20: 'WHI5_BCK2_DD', 21: 'WHI5_BCK2_DD', 22: 'WHI5_BCK2_DD', 23: 'WHI5_BCK2_DD', 24: 'WHI5_BCK2_DD', 25: 'WHI5_BCK2_DD', 26: 'WHI5_BCK2_DD', 27: 'WHI5_BCK2_DD', 28: 'WHI5_BCK2_DD', 29: 'WHI5_CCR4_DD', 30: 'WHI5_CCR4_DD', 31: 'WHI5_CCR4_DD', 32: 'WHI5_CCR4_DD', 33: 'WHI5_CCR4_DD', 34: 'WHI5_CCR4_DD', 35: 'WHI5_CCR4_DD', 36: 'WHI5_CCR4_DD', 37: 'WHI5_CCR4_DD'}	Raw microscopy file	annotated		
raw_microscopy_files/SCD_20210121_6strains.nd2	21012021	SCD	steady_state	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'BCK2DEL', 8: 'BCK2DEL', 9: 'BCK2DEL', 10: 'BCK2DEL', 11: 'BCK2DEL', 12: 'CCR4DEL', 13: 'CCR4DEL', 14: 'CCR4DEL', 15: 'CCR4DEL', 16: 'WHI5DEL', 17: 'WHI5DEL', 18: 'WHI5DEL', 19: 'WHI5DEL', 20: 'WHI5DEL', 21: 'WHI5DEL', 22: 'WHI5DEL', 23: 'WHI5_BCK2_DD', 24: 'WHI5_BCK2_DD', 25: 'WHI5_BCK2_DD', 26: 'WHI5_BCK2_DD', 27: 'WHI5_BCK2_DD', 28: 'WHI5_CCR4_DD', 29: 'WHI5_CCR4_DD', 30: 'WHI5_CCR4_DD', 31: 'WHI5_CCR4_DD', 32: 'WHI5_CCR4_DD', 33: 'WHI5_CCR4_DD'}	Raw microscopy file	annotated		
raw_microscopy_files/SCGE_03012023_6strains.nd2	03012023	SCGE	steady_state	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'MMY', 8: 'BCK2DEL', 9: 'BCK2DEL', 10: 'BCK2DEL', 11: 'BCK2DEL', 12: 'BCK2DEL', 13: 'BCK2DEL', 15: 'CCR4DEL', 16: 'CCR4DEL', 17: 'CCR4DEL', 20: 'CCR4DEL', 21: 'CCR4DEL', 22: 'WHI5DEL', 23: 'WHI5DEL', 24: 'WHI5DEL', 25: 'WHI5DEL', 26: 'WHI5DEL', 27: 'WHI5DEL', 28: 'WHI5DEL', 29: 'WHI5_BCK2_DD', 30: 'WHI5_BCK2_DD', 31: 'WHI5_BCK2_DD', 32: 'WHI5_BCK2_DD', 33: 'WHI5_BCK2_DD', 34: 'WHI5_BCK2_DD', 35: 'WHI5_BCK2_DD'}	Raw microscopy file	annotated		
raw_microscopy_files/SCGE_5strains_23092021.nd2	23092021	SCGE	steady_state	{1: 'MMY', 2: 'MMY', 3: 'MMY', 4: 'MMY', 5: 'MMY', 6: 'MMY', 7: 'MMY', 8: 'BCK2DEL', 9: 'BCK2DEL', 10: 'BCK2DEL', 11: 'BCK2DEL', 12: 'BCK2DEL', 13: 'BCK2DEL', 14: 'BCK2DEL', 15: 'CCR4DEL', 16: 'CCR4DEL', 17: 'CCR4DEL', 18: 'CCR4DEL', 19: 'CCR4DEL', 20: 'CCR4DEL', 22: 'WHI5DEL', 23: 'WHI5DEL', 24: 'WHI5DEL', 26: 'WHI5DEL', 27: 'WHI5DEL', 28: 'WHI5DEL', 29: 'WHI5_BCK2_DD', 30: 'WHI5_BCK2_DD', 31: 'WHI5_BCK2_DD', 32: 'WHI5_BCK2_DD', 33: 'WHI5_BCK2_DD', 34: 'WHI5_BCK2_DD', 35: 'WHI5_BCK2_DD', 36: 'WHI5_CCR4_DD', 37: 'WHI5_CCR4_DD', 38: 'WHI5_CCR4_DD', 39: 'WHI5_CCR4_DD', 41: 'WHI5_CCR4_DD', 42: 'WHI5_CCR4_DD'}	Raw microscopy file	annotated		
raw_microscopy_files/YagyaExpSCD20231212.nd2	12122023	SCD	ccr4_deletion	{1: 'YCY002_1', 2: 'YCY002_1', 3: 'YCY002_1', 4: 'YCY002_1', 5: 'YCY002_1', 6: 'YCY002_1', 7: 'YCY002_1', 8: 'YCY002_1', 9: 'YCY002_1', 10: 'YCY002_1', 11: 'YCY002_1', 12: 'YCY002_1', 13: 'YCY002_1', 14: 'YCY002_1', 15: 'YCY002_1', 16: 'YCY002_1', 17: 'YCY002_1', 18: 'YCY002_1', 19: 'YCY002_1', 20: 'YCY002_1', 21: 'YCY002_1', 22: 'YCY002_1', 23: 'YCY002_1', 24: 'YCY002_1', 25: 'YCY002_1', 26: 'YCY002_1', 27: 'YCY002_1', 28: 'YCY002_1', 29: 'YCY002_1', 30: 'YCY002_1', 31: 'YCY002_1', 32: 'YCY002_1'}	Raw microscopy file	annotated		
